GT_ID,Habitat,NumAnnuli,Initial_CL_mm,PL_Per_Day_mm,CL_mm_per_day,CL_pct_per_day,NumBurrows,CC_Ground,BareSoil,Wiregrass,NativeGrass,Bahiagrass,ExoticGrass,NativeLegume,ExoticLegume,Herb,ShortWoody,MediumWoody,TallWoody,Vine,Palmetto,Sedge,MeanDiversity,XBare,XBrownHerb,XGreenHerb,XTotalHerb,XTree,XWoody,Bahiagrass2,Wiregrass2,BareSoil2,NativeGrass2,ExoticGrass2,NativeLegume2,ExoticLegume2,Herb2,MediumWoody2,ShortWoody2,TallWoody2,Vine2,Palmetto2,Sedge2,MeanDiversity2,X.GreenHerb,X.BrownHerb,X.TotalHerb,X.Tree,X.Woody,gliPCT,gliMAX,gliMEAN,mgvriPCT,mgvriMAX,mgvriMEAN
1300,HG,3,113.75,0.18556701,0.146907216,0.129149201,1,59.44,0.023809524,0,0.095238095,0.857142857,0.238095238,0.357142857,0.30952381,0.785714286,0.119047619,0,0.047619048,0.047619048,0.023809524,0.238095238,5.333333333,1.898496944,0.899265801,76.52554212,77.42480792,13.59139066,7.085302757,0.092714783,0,0.015430947,0.030865571,0.048814388,0.05979706,0.055663605,0.088757015,0,0.034510128,0.021823521,0.021823521,0.015430947,0.048814388,0.233043799,1.064999708,0.094972333,1.075680489,0.377572487,0.269430287,0.257383966,0.395833333,0.38090796,0.257383966,0.640066564,0.640066564
1328,SH,2,92.05,0.107216495,0.109793814,0.119276279,2,66.48571429,0.319989534,0.379120879,0.333333333,0,0,0.868655154,0,0.523809524,0.580847724,0.579016222,0.362899006,0.235217164,0.473312402,0.221873365,5.833333333,27.946856,31.52439092,4.785651432,36.31004235,0,35.74312569,0,0.061611765,0.056597829,0.05776715,0,0.093337135,0,0.07243802,0.076166739,0.076287341,0.060277595,0.048518225,0.068852091,0.047120871,0.243934953,0.22054486,0.596156167,0.646727703,0,0.64082323,0.147718462,0.256651183,0.342960285,0.175941434,0.376127326,0.376127326
1370,SH,4-Mar,135.5,0.132065217,0.135869565,0.100272742,2,41.51428571,0.151753009,0.250654108,0.433804291,0,0.779696494,0.406331763,0.080324437,0.441130298,0.499215071,0.575876504,0.271585557,0.591575092,0.777603349,0.186028257,6.661172161,2.297335957,64.36793237,3.567364783,67.93529715,0,29.76735296,0,0.050086307,0.038965348,0.065911534,0.088415575,0.063787406,0.028345362,0.066466569,0.075959552,0.070714073,0.052137489,0.076989955,0.088296507,0.043144377,0.261047255,0.190016083,0.931132178,0.968838767,0,0.577098524,0.161834482,0.320649794,0.376829569,0.159489848,0.423529416,0.423529416
1559,HG,5,190.5,0.149484536,0.154639175,0.08117542,1,100,0,0,0.166666667,0.976190476,0.214285714,0.047619048,0.380952381,0.166666667,0.166666667,0.071428571,0.071428571,0.19047619,0,0.142857143,5.666666667,0.215306473,1.325377167,87.30303187,88.62840904,2.587960369,8.568324116,0.098963812,0,0,0.040836178,0.046307553,0.021823521,0.061760595,0.040836178,0.026729307,0.040836178,0.026729307,0.043657445,0,0.037805452,0.240355183,1.206461295,0.115380862,1.226836199,0.161573477,0.297067064,0.254545455,0.407624633,0.410277153,0.360862464,0.636186659,0.636186659
1612,HG,2,110.5,0.128735632,0.097701149,0.08841733,1,65.42,0.087867417,0.012195122,0.225140713,0.688868043,0.622889306,0.479049406,0.275797373,0.622889306,0.303314572,0.074421513,0.075046904,0.162914321,0.074421513,0.185428393,6.916666667,2.382852298,7.694056503,17.33875045,25.03280695,11.78295485,60.8013859,0.083093663,0.011043377,0.029646781,0.047466818,0.079005501,0.069268776,0.052540584,0.079005501,0.027283692,0.055101881,0.027398118,0.040373614,0.027283692,0.043074716,0.266125759,0.429480185,0.281067714,0.523977515,0.350388885,0.894270303,0.242009132,0.406340058,0.421620193,0.34040013,0.594792604,0.594792604
1620,HG,3,149.5,0.153061224,0.153061224,0.10238209,1,16.8,0.114285714,0,0.057142857,0.657142857,0.485714286,0.171428571,0.342857143,0.6,0.028571429,0.028571429,0.085714286,0.057142857,0.057142857,0.114285714,5.166666667,16.992372,14.36542541,33.48259074,47.84801615,0,35.15961185,0.081153397,0,0.033812613,0.023906849,0.069749747,0.041415772,0.058587516,0.077537336,0.01690389,0.01690389,0.029281186,0.023906849,0.023906849,0.033812613,0.229307319,0.61706194,0.388734334,0.763871675,0,0.634724147,0.22247191,0.368115942,0.411817742,0.291757613,0.568899572,0.568899572
1630,HG,2,89.7,0.083333333,0.084444444,0.094140964,1,33.7,0.061309524,0,0.035714286,0.583928571,0.488690476,0.036904762,0.145833333,0.526190476,0.180952381,0.048214286,0.072619048,0.280952381,0.183333333,0.0375,4.333333333,2.278397755,8.907981497,58.13849395,67.04647544,0.004753469,30.67037333,0.076489784,0,0.024763291,0.018899349,0.069963463,0.019211794,0.038197419,0.072602755,0.021959516,0.042551337,0.026951184,0.053029793,0.042830536,0.019366127,0.209700121,0.867146825,0.303081238,0.959350897,0.006894595,0.586931169,0.242718447,0.421750663,0.530322092,0.333760589,0.635331213,0.635331213
1640,SH,5-Apr,164,0.113402062,0.103092784,0.062861453,1,79.72,0.5,0.285714286,0.142857143,0,0,0.833333333,0,0.30952381,0.642857143,0.571428571,0.261904762,0.19047619,0.357142857,0.19047619,5.333333333,27.22944011,29.30322039,4.459586767,33.76280716,0,39.00761474,0,0.053477735,0.070769737,0.037805452,0,0.091414358,0,0.055663605,0.075665074,0.080264527,0.051198997,0.043657445,0.05979706,0.043657445,0.233043799,0.212779305,0.57201156,0.620027716,0,0.674568987,0.165876777,0.291005291,0.441948687,0.21461305,0.424750715,0.424750715
1650,SH,2,84.8,0.11,0.14,0.16509434,2,66.24,0.125274725,0.007849294,0.142386185,0.08744113,0.821193093,0.074568289,0.258398744,0.608320251,0.34599686,0.191993721,0.191993721,0.655416013,0.291208791,0.122762951,5.331501832,7.226590969,19.97323554,21.02234192,40.99557745,2.539186752,49.23864483,0.029574758,0.00885974,0.035401564,0.037743054,0.090744193,0.02731059,0.050854854,0.078074181,0.043831121,0.058855471,0.043831121,0.081046464,0.05398999,0.035044717,0.233003041,0.476308028,0.463312969,0.694859978,0.160030441,0.777784317,0.232551287,0.411379702,0.423632538,0.332056092,0.615169423,0.615169423
1670,HG,2,114,0.12,0.121428571,0.106516291,1,31.88,0.078947368,0,0.078947368,0.842105263,0.578947368,0.5,0.421052632,0.394736842,0.105263158,0,0,0.052631579,0,0.052631579,6,1.531447871,9.783428932,24.7019441,34.48537304,14.71360444,49.26957465,0.091895579,0,0.028101273,0.028101273,0.076162202,0.070769737,0.064934191,0.062869494,0,0.032449979,0,0.022943586,0,0.022943586,0.247467063,0.520150229,0.318123464,0.627647791,0.393673142,0.77809365,0.245901639,0.398176292,0.413883098,0.34040013,0.61664933,0.61664933
