,Date,Value,season,Date.adjust
1,3/1/2021,0,Early Dry Season,3/16/2021
2,3/2/2021,0,Early Dry Season,3/17/2021
3,3/3/2021,0,Early Dry Season,3/18/2021
4,3/4/2021,0.3048,Early Dry Season,3/19/2021
5,3/5/2021,0,Early Dry Season,3/20/2021
6,3/6/2021,0,Early Dry Season,3/21/2021
7,3/7/2021,0.8128,Early Dry Season,3/22/2021
8,3/8/2021,0,Early Dry Season,3/23/2021
9,3/9/2021,0,Early Dry Season,3/24/2021
10,3/10/2021,0,Early Dry Season,3/25/2021
11,3/11/2021,0,Early Dry Season,3/26/2021
12,3/12/2021,0,Early Dry Season,3/27/2021
13,3/13/2021,0,Early Dry Season,3/28/2021
14,3/14/2021,0,Early Dry Season,3/29/2021
15,3/15/2021,0,Early Dry Season,3/30/2021
16,3/16/2021,0,Early Dry Season,3/31/2021
17,3/17/2021,0,Late Dry Season,4/1/2021
18,3/18/2021,0,Late Dry Season,4/2/2021
19,3/19/2021,0.9906,Late Dry Season,4/3/2021
20,3/20/2021,0,Late Dry Season,4/4/2021
21,3/21/2021,0,Late Dry Season,4/5/2021
22,3/22/2021,0,Late Dry Season,4/6/2021
23,3/23/2021,0,Late Dry Season,4/7/2021
24,3/24/2021,0,Late Dry Season,4/8/2021
25,3/25/2021,0,Late Dry Season,4/9/2021
26,3/26/2021,0,Late Dry Season,4/10/2021
27,3/27/2021,0,Late Dry Season,4/11/2021
28,3/28/2021,0,Late Dry Season,4/12/2021
29,3/29/2021,0,Late Dry Season,4/13/2021
30,3/30/2021,0,Late Dry Season,4/14/2021
31,3/31/2021,0,Late Dry Season,4/15/2021
32,4/1/2021,5.2578,Late Dry Season,4/16/2021
33,4/2/2021,0,Late Dry Season,4/17/2021
34,4/3/2021,0,Late Dry Season,4/18/2021
35,4/4/2021,0,Late Dry Season,4/19/2021
36,4/5/2021,0,Late Dry Season,4/20/2021
37,4/6/2021,0,Late Dry Season,4/21/2021
38,4/7/2021,0,Late Dry Season,4/22/2021
39,4/8/2021,0,Late Dry Season,4/23/2021
40,4/9/2021,0,Late Dry Season,4/24/2021
41,4/10/2021,0,Late Dry Season,4/25/2021
42,4/11/2021,0,Late Dry Season,4/26/2021
43,4/12/2021,5.6134,Late Dry Season,4/27/2021
44,4/13/2021,0.254,Late Dry Season,4/28/2021
45,4/14/2021,0,Late Dry Season,4/29/2021
46,4/15/2021,0,Late Dry Season,4/30/2021
47,4/16/2021,0,Late Dry Season,5/1/2021
48,4/17/2021,0,Late Dry Season,5/2/2021
49,4/18/2021,0,Late Dry Season,5/3/2021
50,4/19/2021,0,Late Dry Season,5/4/2021
51,4/20/2021,8.4328,Late Dry Season,5/5/2021
52,4/21/2021,0.9906,Late Dry Season,5/6/2021
53,4/22/2021,0,Late Dry Season,5/7/2021
54,4/23/2021,0,Late Dry Season,5/8/2021
55,4/24/2021,0,Late Dry Season,5/9/2021
56,4/25/2021,0,Late Dry Season,5/10/2021
57,4/26/2021,0,Late Dry Season,5/11/2021
58,4/27/2021,0,Late Dry Season,5/12/2021
59,4/28/2021,0,Late Dry Season,5/13/2021
60,4/29/2021,0,Late Dry Season,5/14/2021
61,4/30/2021,3.6576,Late Dry Season,5/15/2021
62,5/1/2021,0,Late Dry Season,5/16/2021
63,5/2/2021,0,Late Dry Season,5/17/2021
64,5/3/2021,0,Late Dry Season,5/18/2021
65,5/4/2021,0,Late Dry Season,5/19/2021
66,5/5/2021,0.0254,Late Dry Season,5/20/2021
67,5/6/2021,0,Late Dry Season,5/21/2021
68,5/7/2021,0,Late Dry Season,5/22/2021
69,5/8/2021,0,Late Dry Season,5/23/2021
70,5/9/2021,0,Late Dry Season,5/24/2021
71,5/10/2021,0,Late Dry Season,5/25/2021
72,5/11/2021,0,Late Dry Season,5/26/2021
73,5/12/2021,0,Late Dry Season,5/27/2021
74,5/13/2021,0,Late Dry Season,5/28/2021
75,5/14/2021,0,Late Dry Season,5/29/2021
76,5/15/2021,0,Late Dry Season,5/30/2021
77,5/16/2021,0,Late Dry Season,5/31/2021
78,5/17/2021,0,Late Dry Season,6/1/2021
79,5/18/2021,0,Late Dry Season,6/2/2021
80,5/19/2021,0,Late Dry Season,6/3/2021
81,5/20/2021,0,Late Dry Season,6/4/2021
82,5/21/2021,0,Late Dry Season,6/5/2021
83,5/22/2021,0,Late Dry Season,6/6/2021
84,5/23/2021,0,Late Dry Season,6/7/2021
85,5/24/2021,0,Late Dry Season,6/8/2021
86,5/25/2021,0,Late Dry Season,6/9/2021
87,5/26/2021,0,Late Dry Season,6/10/2021
88,5/27/2021,0,Late Dry Season,6/11/2021
89,5/28/2021,0,Late Dry Season,6/12/2021
90,5/29/2021,0,Late Dry Season,6/13/2021
91,5/30/2021,0,Late Dry Season,6/14/2021
92,5/31/2021,2.0828,Late Dry Season,6/15/2021
93,6/1/2021,0,Late Dry Season,6/16/2021
94,6/2/2021,0,Late Dry Season,6/17/2021
95,6/3/2021,1.5748,Late Dry Season,6/18/2021
96,6/4/2021,0.5588,Late Dry Season,6/19/2021
97,6/5/2021,0.8636,Late Dry Season,6/20/2021
98,6/6/2021,0,Late Dry Season,6/21/2021
99,6/7/2021,0,Late Dry Season,6/22/2021
100,6/8/2021,0,Late Dry Season,6/23/2021
101,6/9/2021,0,Late Dry Season,6/24/2021
102,6/10/2021,0,Late Dry Season,6/25/2021
103,6/11/2021,0,Late Dry Season,6/26/2021
104,6/12/2021,1.5748,Late Dry Season,6/27/2021
105,6/13/2021,0.3302,Late Dry Season,6/28/2021
106,6/14/2021,0,Late Dry Season,6/29/2021
107,6/15/2021,3.8608,Late Dry Season,6/30/2021
108,6/16/2021,0.254,Early Wet Season,7/1/2021
109,6/17/2021,1.3208,Early Wet Season,7/2/2021
110,6/18/2021,0.5334,Early Wet Season,7/3/2021
111,6/19/2021,0,Early Wet Season,7/4/2021
112,6/20/2021,0,Early Wet Season,7/5/2021
113,6/21/2021,0.0762,Early Wet Season,7/6/2021
114,6/22/2021,2.4892,Early Wet Season,7/7/2021
115,6/23/2021,0.635,Early Wet Season,7/8/2021
116,6/24/2021,1.8288,Early Wet Season,7/9/2021
117,6/25/2021,0.0254,Early Wet Season,7/10/2021
118,6/26/2021,0.0254,Early Wet Season,7/11/2021
119,6/27/2021,0,Early Wet Season,7/12/2021
120,6/28/2021,0.1524,Early Wet Season,7/13/2021
121,6/29/2021,1.2192,Early Wet Season,7/14/2021
